"article","description","price","img"
"BPZ:5227400001","Основание для извещателя пламени","5209.92"
"BPZ:5463150001","Корпус для барьеров","4003.92"
"A5Q00021367","Уплотнение резиновое для устройства обнаружения дыма с пробоотбором воздуха","352.08"
"S54319-B33-A1","Труба воздухозаборная, длина 600мм","837.84"
"S54319-B33-A2","Труба воздухозаборная, длина 1500мм","1413.36"
"S54319-B33-A3","Труба воздухозаборная, длина 2800мм","2412"
"S54319-B34-A1","Кронштейн монтажный","1344.24"
"S54319-S32-A1","Устройство обнаружения дыма с пробоотбором воздуха","4977.84"
"S54333-C92-A1","Фильтр внешний для извещателей аспирационных FDA","2653.2"
"S54333-F15-A1","Извещатель аспирационный 500 м2","59335.2"
"S54333-F17-A1","Извещатель аспирационный 800 м2","76653.12"
"S54333-S91-A1","Набор фильтров для FDAZ292","414.96"
"","","0"
"Извещатели и периферийные устройства пожарной сигнализации / Извещатели и периферийные устройства 110-ой серии","","0"
"S54372-F4-A2","Извещатель дымовой оптический (коллективный)","979.44"
"S54372-F5-A1","Основание для извещателя","86.16"
"S54372-F6-A1","Основание для извещателя","98.64"
"S54372-F7-A1","Основание для извещателя","241.2"
"S54372-F8-A1","Основание для извещателя","257.28"
"S54372-F9-A2","Извещатель тепловой (коллективный, дифференциальный)","774.48"
"S54372-F10-A2","Извещатель тепловой (коллективный, статический)","728.88"
"S54372-F11-A2","Извещатель комбинированный (коллективный)","1252.56"
"","","0"
"Извещатели и периферийные устройства пожарной сигнализации / Извещатели и периферийные устройства Cerberus FIT","","0"
"BPZ:5222870001","Корпус красный для блока электронного","588.48"
"A5Q00004470","Электронный блок извещателя ручного или устройства дистанционного пуска","969.6"
"A5Q00005925","Электронный блок извещателя ручного или устройства дистанционного пуска","1022.16"
"S54371-F6-A1","Извещатель ручной (коллективный)","704.4"
"S54371-F6-A2","Извещатель ручной (коллективный)","736.56"
"","","0"
"Извещатели и периферийные устройства пожарной сигнализации / Извещатели и периферийные устройства Cerberus PRO EN","","0"
"S54310-F1-A1","Извещатель дымовой оптический","1286.64"
"S54310-F2-A1","Извещатель комбинированный","1499.52"
"S54310-F3-A1","Извещатель тепловой (статический)","1118.88"
"S54310-F4-A1","Извещатель тепловой (статический или дифференциальный)","1161.6"
"S54319-F5-A1","Оповещатель звуковой (основание для извещателя)","1794"
"S54319-F6-A1","Устройство замены извещателя","1784.88"
"S54319-F8-A1","Уплотнение резиновое для основания извещателя","90.24"
"S54319-F9-A1","Винт для блокировки извещателя Cerberus PRO","5.52"
"S54319-F11-A1","Основание для извещателя","104.64"
"S54319-F15-A1","Основание для извещателя с диодом","222"
"S54319-F18-A1","Адаптер для устройства замены извещателя","886.08"
"S54319-F19-A1","Основание для извещателя с зажимными клеммами","347.28"
"S54319-F20-A1","Приставка для основания DB721","88.56"
"S54319-F29-A1","Приставка для основания DB721","837.84"
"S54320-F7-A3","Извещатель мультисенсорный ASA","2592.48"
"S54320-F8-A3","Извещатель мультисенсорный c доп. сенсором СО","3839.52"
"S54322-F6-A1","Модуль входов (1 коллективный вход)","3778.8"
"S54329-F8-A1","Извещатель мультисенсорный EX","4438.08"
"S54370-F10-A1","Оповещатель световой","1112.64"
"","","0"
"Извещатели и периферийные устройства пожарной сигнализации / Извещатели и периферийные устройства Sinteso EN","","0"
"BPZ:3669510001","Фонарь тестовый для извещателя пламени","107575.2"
"BPZ:3674840001","Основание шарнирное для извещателя пламени","5467.2"
"BPZ:3685190001","Тестер для проверки извещателя линейного","20421.6"
"BPZ:3950450001","Кронштейн монтажный для извещателя пламени","1326.72"
"BPZ:4588560001","Корпус с крышкой","631.92"
"BPZ:4677080001","Микроклемма 0,28...0,5 мм2","21.6"
"BPZ:4677110001","Каркас защитный для извещателей точечных","1093.44"
"BPZ:4787710001","Отражатель для больших расстояний","11593.68"
"BPZ:4787840001","Отражатель для малых расстояний","496.8"
"BPZ:4787970001","Обогреватель извещателя с 2 микроклеммами","995.28"
"BPZ:4788490001","Отражатель для средних расстояний","1276.8"
"BPZ:4837400001","Модуль искробезопасный Zener барьер","4968.72"
"BPZ:4837660001","Набор монтажный для SB2/SB3","1357.2"
"BPZ:4864330001","Табличка для маркировки","33.12"
"BPZ:4933030001","Фильтр для коротких дистанций 7-10M","4132.56"
"BPZ:4933160001","Фильтр для коротких дистанций 5-8M","5467.2"
"BPZ:4942340001","Микроклемма 1,0…2,5 мм2","19.68"
"BPZ:5090190001","Корпус зеленый для блока электронного","1736.64"
"BPZ:5162220001","Сопротивление оконечное","1109.52"
"BPZ:5165360001","Основание для извещателя пламени","1522.8"
"BPZ:5166750001","Извещатель инфракрасный пламени EX","67719.6"
"BPZ:5221480001","Фильтр от внешней засветки","4968.72"
"BPZ:5223550001","Крышка защитная для извещателя ручного","183.36"
"BPZ:5302660001","Каркас защитный для извещателя пламени","1241.28"
"BPZ:5464120001","Корпус желтый для блока электронного","1239.84"
"BPZ:5464250001","Корпус синий для блока электронного","1239.84"
"BPZ:5470680001","Защитное уплотнение","422.88"
"BPZ:5590140001","Извещатель ручной (коллективный)","2927.52"
"A5Q00001565","Извещатель дымовой оптический С-line","2368.8"
"A5Q00001566","Извещатель комбинированный С-line","2888.4"
"A5Q00001567","Извещатель тепловой С-line (статический)","1864.32"
"A5Q00001603","Приставка для оснований FDB2xx","75.84"
"A5Q00001644","Крышка защитная для извещателя ручного","234.72"
"A5Q00001647","Оповещатель звуковой (основание для извещателя)","2431.68"
"A5Q00001664","Основание для извещателя","193.68"
"A5Q00001984","Модуль входов (4 входа)","2745.84"
"A5Q00002217","Корпус красный для блока электронного","300.72"
"A5Q00002298","Извещатель линейный дымовой оптический S-line","19625.52"
"A5Q00002369","Модуль входов и выходов (4 входа и 4 выхода)","5322.48"
"A5Q00002451","Электронный блок извещателя ручного или устройства дистанционного пуска","1472.88"
"A5Q00002621","Табличка для маркировки","30"
"A5Q00003006","Извещатель инфракрасный пламени","48308.16"
"A5Q00003087","Электронный блок извещателя ручного или устройства дистанционного пуска","2325.36"
"A5Q00003310","Основание для извещателя пламени","1897.44"
"A5Q00003357","Устройство замены и тестирования извещателя","30552"
"A5Q00003585","Устройство замены извещателя","19617.6"
